CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
26128	26146	41	0.9571	-1.014
26146	26174	41	0.8369	-0.984
26146	26422	41	0.9026	-16.017
10660	10673	41	0.8474	-1.012
10660	26110	41	0.8111	0.999
10660	26128	41	0.8067	0.006
10660	26422	41	0.8093	-17.025
10673	26110	41	0.768	2.011
10673	26128	41	0.7646	1.018
10673	26422	41	0.7682	-16.013
26110	26128	41	0.9668	-0.993
26128	26174	41	0.8253	-1.998
26128	26422	41	0.9301	-17.031
26110	26174	41	0.8117	-2.991
26174	26422	41	0.7629	-15.033
26110	26422	41	0.9383	-18.024
1972	1985	42	0.9523	-1.014
30269	30303	43	0.9551	-1.008
32372	32387	44	0.8534	-1.008
8571	8595	45	0.9529	-0.999
8571	8573	45	0.736	600.3
25991	26004	46	0.8583	-1.008
3536	3553	47	0.9572	-1.002
9396	9417	48	0.8972	-616.351
34980	34999	49	0.8521	-1.023
12864	12929	50	0.8705	-2.001
12899	12929	50	0.908	-0.993
12864	12899	50	0.9182	-1.008
39607	39610	51	0.7631	-0.978
17438	17495	52	0.9612	-1.01
12960	13036	53	0.7424	-3.015
13016	13036	53	0.9748	-0.999
13036	13047	53	0.8585	-0.981
13016	13047	53	0.7519	-1.98
13035	13047	53	0.9351	-0.993
12960	13016	53	0.8781	-2.016
12960	13277	53	0.9206	-17.028
12960	13298	53	0.9613	-18.027
13277	13298	53	0.9445	-0.999
13016	13035	53	0.8159	-0.987
13016	13298	53	0.7243	-16.011
12171	12189	54	0.7315	-1.004
12111	12127	54	0.903	-1.011
12111	12158	54	0.7718	-654.45
12127	12158	54	0.8265	-653.439
12158	12171	54	0.7237	-0.98
32214	32250	55	0.8126	-2.019
32230	32250	55	0.8897	-1.011
32214	32230	55	0.8726	-1.008
1941	1950	56	0.7637	-1.068
1604	1613	57	0.9386	-0.999
3980	4002	58	0.9041	-1.005
26988	27024	59	0.8794	-1.004
1603	1611	60	0.9393	-1.002
25854	25866	61	0.9204	-0.996
25854	25868	61	0.9069	-0.999
25854	25883	61	0.9148	-2.01
25866	25868	61	0.8999	-0.003
25866	25883	61	0.9186	-1.014
25868	25883	61	0.8848	-1.011
30230	30248	62	0.9426	-1.002
444	4563	63	0.7283	-292.11
858	4563	63	0.7256	-233.072
1202	4563	63	0.7061	-199.086
2855	4563	63	0.7639	-80.036
3864	4563	63	0.7362	-35.008
4563	4915	63	0.7141	-13.03
197	201	63	0.9079	-350.219
6515	7463	63	0.7061	-34.01
2866	8059	63	0.7162	-213.1
197	7381	63	0.7177	-461.194
1092	7381	63	0.7437	-317.162
6010	7381	63	0.7296	-48.076
858	1202	63	0.7146	-33.986
1202	2158	63	0.7079	-85.014
1202	2855	63	0.7181	-119.05
1202	3539	63	0.7472	-145.054
1202	3864	63	0.7429	-164.078
1202	7287	63	0.727	-305.12
444	2158	63	0.7496	-178.038
858	2158	63	0.7439	-119.0
2158	2389	63	0.7136	-12.014
2158	3864	63	0.7322	-79.064
938	1115	63	0.7068	-19.072
1445	4314	63	0.7175	-159.068
4274	4314	63	0.7822	-1.994
4314	7115	63	0.7075	-117.036
1115	2232	63	0.7294	-95.036
1741	2232	63	0.7619	-38.014
2232	2510	63	0.8988	-14.018
2232	9397	63	0.7231	-292.1
2762	3157	63	0.7882	-16.024
444	858	63	0.7979	-59.038
858	999	63	0.7078	-15.97
858	1115	63	0.7682	-28.03
858	2389	63	0.7075	-131.014
858	2855	63	0.7281	-153.036
858	3864	63	0.7655	-198.064
9192	13727	63	0.7248	-125.026
8390	9192	63	0.8843	-28.04
1956	9192	63	0.7809	-309.104
796	876	63	0.7586	-12.009
865	876	63	0.9793	-1.002
2984	3393	63	0.8655	-15.98
197	1092	63	0.8028	-144.032
1092	2364	63	0.7148	-104.068
1092	2953	63	0.7523	-130.09
1092	6010	63	0.7128	-269.086
1565	1741	63	0.7085	-21.072
4788	6084	63	0.7064	-57.048
4788	6515	63	0.768	-71.014
4788	6988	63	0.7242	-87.034
4788	11340	63	0.7372	-227.17
1445	2931	63	0.7212	-99.058
1721	2931	63	0.7232	-71.04
2931	2948	63	0.7227	-0.928
2931	4274	63	0.7048	-58.016
2596	2613	63	0.7339	-0.898
1721	2596	63	0.735	-57.034
1741	2596	63	0.7737	-56.002
1723	13727	63	0.7725	0.003
1723	13795	63	0.7016	-2.011
197	4009	63	0.7342	-321.092
787	865	63	0.7724	-12.009
865	5607	63	0.751	128.096
1620	2948	63	0.7052	-88.044
2364	2948	63	0.7437	-25.95
2948	3273	63	0.7273	-13.058
320	1620	63	0.7417	-156.064
469	1620	63	0.7463	-124.986
999	1620	63	0.7552	-51.974
1111	1620	63	0.8137	-40.046
1620	1956	63	0.7512	-32.048
1620	2364	63	0.7199	-62.094
1620	4569	63	0.7089	-165.138
1620	5607	63	0.7438	-213.102
1115	1721	63	0.7815	-55.99
1445	1721	63	0.7351	-28.018
1721	1741	63	0.7949	-1.032
1721	3300	63	0.7948	-86.04
1721	4274	63	0.7315	-129.056
2953	3661	63	0.7466	-28.032
661	4936	63	0.7033	128.098
999	4936	63	0.7309	-231.108
444	1630	63	0.8484	-129.08
444	1958	63	0.7057	-159.054
444	2855	63	0.7217	-212.074
444	3864	63	0.7566	-257.102
1115	1445	63	0.8023	-27.972
1445	1741	63	0.768	-29.05
1445	2740	63	0.7528	-91.992
1445	4274	63	0.79	-157.074
1445	7115	63	0.7077	-276.104
13727	13795	63	0.8227	-2.014
219	843	63	0.7274	241.196
843	850	63	0.8211	-408.2
843	2984	63	0.7083	-158.152
999	1956	63	0.7239	-84.022
1111	1956	63	0.724	-72.094
1956	3273	63	0.7047	-69.054
1956	13727	63	0.7776	-434.13
1741	6084	63	0.7348	-213.104
6084	6988	63	0.7118	-29.986
6084	9397	63	0.7693	-117.01
10557	11049	63	0.9497	-14.016
10557	11060	63	0.76	-14.008
2866	10557	63	0.7477	-294.088
380	1741	63	0.7594	-157.094
1115	1741	63	0.731	-57.022
1741	4274	63	0.7532	-128.024
1741	9397	63	0.7312	-330.114
1630	1958	63	0.74	-29.974
1630	2855	63	0.7027	-82.994
1630	3157	63	0.7163	-95.018
1630	3864	63	0.7068	-128.022
595	2984	63	0.7197	-186.116
2660	2984	63	0.7288	-13.068
2866	2984	63	0.7709	-4.01
469	2364	63	0.7239	-187.08
999	2364	63	0.763	-114.068
1111	2364	63	0.7156	-102.14
2364	3273	63	0.7004	-39.008
595	605	63	0.7019	-0.926
787	796	63	0.9062	-1.002
787	5607	63	0.7341	116.087
320	999	63	0.7076	-104.09
320	1111	63	0.8092	-116.018
320	5607	63	0.7759	-369.166
1111	8390	63	0.7184	-353.158
197	2327	63	0.7367	-245.978
661	999	63	0.7129	359.206
999	1111	63	0.7426	-11.928
999	5607	63	0.7038	-265.076
2855	3864	63	0.732	-45.028
6988	9397	63	0.77	-87.024
3157	5260	63	0.7018	-103.034
6010	6032	63	0.8153	-1.002
1958	2389	63	0.785	-30.998
2855	3273	63	0.8301	-16.01
1958	2866	63	0.704	-53.076
1111	5607	63	0.8084	-253.148
1799	4274	63	0.702	-123.088
331	380	63	0.7034	-14.008
4274	7115	63	0.8005	-119.03
1115	4274	63	0.7163	-185.046
2740	4274	63	0.7344	-65.082
4274	8319	63	0.7023	-165.982
19327	19361	64	0.9773	-1.008
19327	19782	64	0.9429	-17.031
19327	19803	64	0.9649	-18.03
19327	22540	64	0.7435	-129.102
19361	19803	64	0.9664	-17.022
19782	19803	64	0.9548	-0.999
19361	19782	64	0.9605	-16.023
19361	22540	64	0.7951	-128.094
16811	16861	65	0.848	-1.995
16836	16861	65	0.7716	-0.993
16811	16836	65	0.9476	-1.002
23527	23562	66	0.9757	-1.002
30626	30651	67	0.7975	-922.49
23983	24008	68	0.9465	-1.002
24008	24015	68	0.9254	-1.005
24008	27334	68	0.7869	-156.096
23983	27309	68	0.7498	-156.099
27309	27334	68	0.9568	-0.999
23983	24015	68	0.8752	-2.007
14567	35387	69	0.7192	0.005
35387	35400	69	0.9524	-1.006
35387	35432	69	0.8102	-1.992
14605	35387	69	0.708	2.012
14567	14605	69	0.9426	-2.007
14567	15009	69	0.739	-18.03
14567	35400	69	0.7197	-1.001
35400	35432	69	0.849	-0.986
14605	35400	69	0.7196	1.006
6865	6894	70	0.9427	-1.0
16535	16578	71	0.9482	-1.002
33841	34029	72	0.9164	-18.044
33853	34029	72	0.9269	-17.032
33869	34029	72	0.9329	-16.044
34013	34029	72	0.8957	-1.004
34029	34036	72	0.9331	-0.972
34029	34255	72	0.8414	-19.92
34029	34262	72	0.8041	-20.916
39707	39711	72	0.9418	-0.999
39708	39711	72	0.8393	-1.02
39711	39714	72	0.8408	-0.963
39711	39752	72	0.8839	-16.035
39711	39756	72	0.9667	-17.022
