identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:5174	2	506.314300537109	28.310964	854	EK_Q_07.mzML	5174
mzspec:USI000000:EK_Q_07:scan:5175	3	485.256530761719	28.314799	3957	EK_Q_07.mzML	5175
mzspec:USI000000:EK_Q_07:scan:5179	2	417.726806640625	28.350089	226	EK_Q_07.mzML	5179
mzspec:USI000000:EK_Q_07:scan:5182	3	405.572235107422	28.377214	3650	EK_Q_07.mzML	5182
mzspec:USI000000:EK_Q_07:scan:5185	2	634.794982910156	28.395516	1951	EK_Q_07.mzML	5185
mzspec:USI000000:EK_Q_07:scan:5189	2	527.753112792969	28.430827	1007	EK_Q_07.mzML	5189
mzspec:USI000000:EK_Q_07:scan:5198	3	361.538024902344	28.4984	3541	EK_Q_07.mzML	5198
mzspec:USI000000:EK_Q_07:scan:5199	2	784.429809570313	28.507243	2804	EK_Q_07.mzML	5199
mzspec:USI000000:EK_Q_07:scan:5207	2	535.773254394531	28.56816	1099	EK_Q_07.mzML	5207
mzspec:USI000000:EK_Q_07:scan:5208	2	457.255859375	28.576971	465	EK_Q_07.mzML	5208
mzspec:USI000000:EK_Q_07:scan:5216	2	602.334106445313	28.636798	1696	EK_Q_07.mzML	5216
mzspec:USI000000:EK_Q_07:scan:5217	2	465.269317626953	28.643748	505	EK_Q_07.mzML	5217
mzspec:USI000000:EK_Q_07:scan:5218	2	451.757110595703	28.652558	417	EK_Q_07.mzML	5218
mzspec:USI000000:EK_Q_07:scan:5227	3	562.292907714844	28.714348	4227	EK_Q_07.mzML	5227
mzspec:USI000000:EK_Q_07:scan:5228	2	590.305969238281	28.720944	1586	EK_Q_07.mzML	5228
mzspec:USI000000:EK_Q_07:scan:5230	2	598.837219238281	28.736469	1666	EK_Q_07.mzML	5230
mzspec:USI000000:EK_Q_07:scan:5231	2	468.250427246094	28.745279	522	EK_Q_07.mzML	5231
mzspec:USI000000:EK_Q_07:scan:5235	3	662.334777832031	28.781231	4537	EK_Q_07.mzML	5235
mzspec:USI000000:EK_Q_07:scan:5241	2	417.234069824219	28.799583	222	EK_Q_07.mzML	5241
mzspec:USI000000:EK_Q_07:scan:5246	2	653.3427734375	28.841819	2071	EK_Q_07.mzML	5246
mzspec:USI000000:EK_Q_07:scan:5251	2	738.397338867188	28.874581	2600	EK_Q_07.mzML	5251
mzspec:USI000000:EK_Q_07:scan:5252	2	716.860961914063	28.883423	2486	EK_Q_07.mzML	5252
mzspec:USI000000:EK_Q_07:scan:5259	3	396.887512207031	28.933309	3606	EK_Q_07.mzML	5259
mzspec:USI000000:EK_Q_07:scan:5263	3	539.942077636719	28.966048	4172	EK_Q_07.mzML	5263
mzspec:USI000000:EK_Q_07:scan:5264	2	809.406311035156	28.974892	2912	EK_Q_07.mzML	5264
mzspec:USI000000:EK_Q_07:scan:5279	2	568.843383789063	29.077198	1378	EK_Q_07.mzML	5279
mzspec:USI000000:EK_Q_07:scan:5290	2	535.288452148438	29.162651	1097	EK_Q_07.mzML	5290
mzspec:USI000000:EK_Q_07:scan:5291	3	530.631042480469	29.165919	4138	EK_Q_07.mzML	5291
mzspec:USI000000:EK_Q_07:scan:5292	3	496.934326171875	29.171248	3998	EK_Q_07.mzML	5292
